,Brand,Memory,Storage,Rating,Original Price,colour
362,LG,4,64,4.2,31490,pink
364,LG,4,32,4.0,22999,titan
368,LG,4,64,4.2,49999,white
369,LG,4,64,4.2,29790,blue
370,LG,4,32,4.0,25999,gold
375,LG,4,64,3.2,20998,blue
376,LG,4,64,3.2,21001,violet
378,LG,4,64,3.2,18990,black
382,ASUS,8,128,4.3,55999,black
383,ASUS,12,128,4.4,57999,black
384,ASUS,4,64,4.3,15599,grey
386,ASUS,8,128,4.4,55999,black
388,ASUS,6,128,4.5,36299,blue
389,ASUS,4,64,4.3,15599,blue
390,ASUS,6,64,4.3,35999,black
391,ASUS,4,64,4.3,15599,black
393,ASUS,4,64,4.3,14999,black
394,ASUS,6,128,4.5,36299,silver
399,ASUS,4,64,4.3,14999,silver
403,ASUS,6,64,4.3,17999,grey
404,ASUS,6,128,4.3,38999,silver
406,ASUS,8,128,4.6,40999,black
409,ASUS,12,256,4.5,63999,black
415,ASUS,12,256,4.4,65999,black
425,ASUS,12,256,4.5,63999,white
426,ASUS,8,256,4.3,43999,silver
427,ASUS,8,256,4.5,43999,silver
428,ASUS,6,64,4.3,35999,silver
432,ASUS,6,64,4.3,17999,blue
439,ASUS,8,128,4.3,55999,white
440,ASUS,4,64,4.0,9599,black
443,ASUS,8,128,4.3,83999,black
447,ASUS,8,256,4.3,43999,black
448,ASUS,6,64,4.3,17999,black
449,ASUS,4,64,4.3,15599,blue
459,ASUS,4,64,4.3,14999,blue
461,ASUS,6,64,4.3,19999,titanium
462,ASUS,8,256,4.3,43999,black
464,ASUS,8,256,4.5,43999,blue
465,ASUS,6,128,4.3,38999,black
469,ASUS,4,64,4.3,17999,blue
471,ASUS,12,512,4.6,62999,black
474,ASUS,6,64,4.5,32999,blue
476,ASUS,6,64,4.3,19999,blue
479,ASUS,4,64,4.3,17999,titanium
482,ASUS,4,64,3.6,37999,white
483,ASUS,4,128,3.6,37999,black
495,realme,4,64,4.2,9999,blue
498,realme,4,64,4.4,15999,blue
499,realme,4,64,4.4,15999,silver
502,realme,4,64,4.4,10999,black
503,realme,4,64,4.4,10999,blue
504,realme,4,64,4.2,9999,grey
505,realme,4,64,4.24309764309762,15999,purple
506,realme,6,128,4.24309764309762,17999,purple
507,realme,4,64,4.24309764309762,15999,black
508,realme,4,128,4.4,11999,grey
509,realme,4,64,4.4,10999,grey
510,realme,4,128,4.4,11999,blue
511,realme,4,64,4.4,10999,blue
512,realme,6,128,4.5,20999,blue
513,realme,6,128,4.24309764309762,17999,black
514,realme,4,128,4.24309764309762,13999,grey
515,realme,4,128,4.24309764309762,13999,blue
516,realme,8,128,4.24309764309762,22999,blue
517,realme,8,128,4.24309764309762,22999,purple
518,realme,6,128,4.5,20999,purple
519,realme,4,64,4.4,10999,black
520,realme,4,64,4.4,10999,blue
523,realme,6,128,4.3,17999,blue
524,realme,6,128,4.3,17999,silver
525,realme,6,64,4.3,15999,silver
526,realme,6,64,4.3,15999,blue
527,realme,4,64,4.3,14999,blue
528,realme,4,64,4.3,14999,silver
530,realme,6,128,4.3,16999,blue
531,realme,6,128,4.3,16999,silver
532,realme,4,128,4.3,16999,black
533,realme,4,64,4.3,15999,blue
534,realme,4,64,4.3,15999,black
535,realme,8,128,4.4,21999,black
536,realme,8,128,4.3,18999,blue
537,realme,8,128,4.3,18999,black
538,realme,4,128,4.3,16999,blue
540,realme,6,128,4.3,19999,black
541,realme,8,128,4.4,21999,blue
542,realme,6,128,4.3,17999,silver
543,realme,6,128,4.3,17999,black
544,realme,8,128,4.3,18999,black
545,realme,4,128,4.3,16999,black
546,realme,8,128,4.3,18999,silver
551,realme,6,64,4.3,17999,blue
552,realme,8,128,4.3,23999,nebula
553,realme,6,128,4.3,21999,silver
554,realme,8,128,4.3,23999,silver
555,realme,6,128,4.3,21999,nebula
556,realme,6,64,4.3,18999,black
557,realme,6,64,4.3,18999,silver
560,realme,4,64,4.4,12999,blue
561,realme,4,64,4.4,12999,silver
562,realme,8,128,4.3,21999,silver
563,realme,8,128,4.3,21999,black
564,realme,4,64,4.4,10999,blue
565,realme,8,128,4.5,16999,white
566,realme,4,64,4.3,13999,green
586,realme,4,32,4.4,13999,blue
587,realme,4,64,4.4,12999,green
588,realme,4,64,4.4,12999,blue
593,realme,4,128,4.4,13999,green
607,realme,4,128,4.3,14999,green
608,realme,6,64,4.5,15999,blue
609,realme,4,64,4.4,10999,red
610,realme,8,128,4.3,29999,blue
611,realme,12,256,4.3,47999,red
612,realme,6,128,4.4,26999,white
613,realme,8,128,4.3,40999,blue
614,realme,8,128,4.3,41999,red
615,realme,12,256,4.3,47999,green
616,realme,8,128,4.3,41999,green
617,realme,8,128,4.5,17999,blue
618,realme,4,64,4.5,14999,green
619,realme,8,256,4.3,31999,blue
621,realme,12,256,4.3,43999,yellow
622,realme,6,64,4.4,17999,blue
623,realme,8,128,4.4,27999,white
625,realme,8,128,4.4,17999,blue
626,realme,8,256,4.3,31999,white
627,realme,12,256,4.2,34999,white
628,realme,12,256,4.2,34999,blue
629,realme,8,128,4.3,32999,black
631,realme,8,256,4.3,31999,white
632,realme,12,256,4.2,34999,white
633,realme,12,256,4.2,34999,blue
634,realme,6,128,4.1,26999,black
635,realme,6,64,4.4,15999,black
636,realme,6,64,4.4,17999,white
637,realme,6,128,4.3,14990,black
639,realme,4,64,4.4,14999,white
640,realme,4,64,4.5,17999,white
642,realme,4,64,4.5,10999,blue
643,realme,4,64,4.4,14990,black
644,realme,6,128,4.3,14990,silver
647,realme,4,128,4.5,17999,blue
650,realme,4,128,4.3,13999,blue
651,realme,4,64,4.3,12999,green
652,realme,4,64,4.3,12999,blue
655,realme,8,128,4.5,20999,green
656,realme,8,128,4.5,20999,blue
657,realme,4,128,4.3,13999,green
660,realme,4,64,4.3,10999,blue
661,realme,4,64,4.3,10999,black
663,realme,4,64,4.4,12999,silver
664,realme,4,64,4.4,12999,blue
665,realme,6,128,4.3,19999,blue
666,realme,4,128,4.3,16999,silver
668,realme,8,128,4.4,21999,yellow
669,realme,6,128,4.3,19999,yellow
670,realme,4,64,4.4,10999,grey
671,realme,4,64,4.4,10999,blue
672,realme,4,64,4.4,9999,grey
674,realme,4,64,4.4,10999,blue
676,realme,4,128,4.4,11999,blue
677,realme,4,128,4.4,11999,grey
678,realme,6,64,4.5,15999,green
679,realme,4,64,4.4,10999,silver
680,realme,4,64,4.3,13999,blue
681,realme,8,128,4.3,20999,white
682,realme,6,64,4.5,15999,white
683,realme,4,64,4.4,10999,black
685,realme,8,128,4.5,17999,green
686,realme,4,64,4.4,10999,blue
687,realme,6,64,4.3,17999,white
688,realme,6,128,4.4,20999,leather
689,realme,8,128,4.3,18999,ninja
690,realme,6,64,4.3,16999,knight
691,realme,8,128,4.3,18999,knight
692,realme,4,128,4.3,14999,blue
693,realme,8,128,4.3,29999,white
695,realme,4,64,4.3,12999,silver
696,realme,4,64,4.3,12999,blue
697,realme,4,64,4.4,11999,silver
698,realme,4,128,4.3,13999,silver
699,realme,4,64,4.5,10999,white
700,realme,4,128,4.5,12999,green
701,realme,4,128,4.5,12999,white
702,realme,4,128,4.3,13999,blue
703,realme,4,64,4.4,11999,blue
706,realme,8,128,4.4,19999,red
708,realme,6,128,4.4,16999,white
710,realme,4,128,4.5,12999,blue
711,realme,4,64,4.4,14999,blue
714,realme,8,128,4.4,17999,white
715,realme,8,128,4.5,31999,white
716,realme,4,64,4.4,14999,white
717,realme,4,64,4.4,15499,blue
718,realme,6,64,4.4,17999,blue
719,realme,6,128,4.3,12799,red
720,realme,4,64,4.4,15499,gold
721,realme,4,128,4.5,12999,blue
722,realme,4,64,4.4,10999,red
723,realme,8,128,4.4,27999,blue
725,realme,4,64,4.4,11990,blue
726,realme,4,64,4.4,9490,red
727,realme,6,64,4.4,17999,red
728,realme,4,64,4.5,17999,green
729,realme,4,64,4.5,17999,blue
730,realme,8,128,4.4,19999,blue
734,realme,4,64,4.5,10999,green
735,realme,6,128,4.5,19999,blue
736,realme,6,128,4.4,18999,red
737,realme,6,128,4.4,18999,orange
738,realme,8,128,4.5,20999,white
739,realme,8,128,4.4,19499,orange
740,realme,4,64,4.4,14999,black
741,realme,6,128,4.4,18999,blue
743,realme,6,128,4.4,26999,blue
744,realme,8,256,4.5,24999,white
745,realme,6,128,4.5,19999,white
746,realme,8,128,4.5,20999,blue
747,realme,6,128,4.5,19999,green
748,realme,8,256,4.5,24999,blue
749,realme,4,128,4.5,11999,green
750,realme,12,256,4.6,36999,brick
751,realme,12,256,4.6,36999,concrete
752,realme,4,128,4.5,11999,blue
753,realme,4,64,4.4,12999,black
755,realme,4,64,4.4,12999,black
757,realme,4,64,4.4,12999,red
758,realme,4,64,4.4,12999,blue
760,realme,4,64,4.5,10999,blue
761,realme,8,128,4.5,20999,garlic
762,realme,8,128,4.5,20999,onion
763,realme,4,128,4.5,17999,white
764,realme,12,256,4.6,35999,white
765,realme,12,256,4.6,35999,blue
766,realme,8,128,4.5,31999,blue
767,realme,4,64,4.3,9999,green
768,realme,4,64,4.3,9999,black
769,realme,4,64,4.4,11990,black
771,realme,8,256,4.5,24999,green
772,realme,4,64,4.4,12990,silver
775,realme,6,64,4.4,15999,white
776,realme,8,128,4.5,21999,white
777,realme,8,128,4.5,20999,onion
778,realme,8,128,4.5,20999,white
788,GIONEE,4,64,4.0,21499,grey
789,GIONEE,4,32,4.0,8750,blue
790,GIONEE,4,32,4.0,8690,black
797,GIONEE,8,16,4.0,2199,black
798,GIONEE,8,16,4.0,2199,black
801,GIONEE,8,16,3.9,1890,black
811,GIONEE,8,16,3.9,1099,black
814,GIONEE,8,16,3.7,1999,black
819,GIONEE,4,32,4.0,15490,gold
826,GIONEE,4,64,4.1,16499,black
827,GIONEE,4,64,4.1,10499,gold
847,GIONEE,4,64,4.1,15399,gold
848,GIONEE,4,32,3.9,6399,gold
856,GIONEE,4,64,4.1,7899,black
859,GIONEE,4,64,4.1,9250,blue
862,GIONEE,4,64,4.1,10499,gold
864,GIONEE,4,64,4.0,8999,gold
865,GIONEE,4,64,4.0,7899,black
866,GIONEE,6,64,2.7,9290,gold
870,GIONEE,4,64,3.6,7997,gold
872,GIONEE,4,64,2.8,8549,blue
873,GIONEE,4,64,2.8,8389,gold
875,GIONEE,4,32,3.6,8000,gold
885,GIONEE,6,64,2.7,9974,blue
887,GIONEE,4,64,4.1,7999,blue
926,Nokia,8,16,4.1,3445,black
929,Nokia,4,64,3.9,13999,fjord
937,Nokia,4,64,4.24309764309762,13549,blue
938,Nokia,6,64,3.9,14499,night
945,Nokia,4,64,4.24309764309762,12149,blue
946,Nokia,4,64,4.24309764309762,12149,purple
949,Nokia,8,16,4.2,3740,black
951,Nokia,4,64,3.9,13999,dusk
953,Nokia,4,64,3.9,13999,charcoal
960,Nokia,6,64,3.9,18499,dusk
963,Nokia,6,128,3.8,56299,blue
964,Nokia,4,64,3.9,16799,dusk
965,Nokia,4,64,3.9,16799,night
972,Nokia,8,32,4.1,2200,black
976,Nokia,4,16,4.2,1900,black
979,Nokia,4,64,4.24309764309762,14490,night
989,Nokia,4,16,4.2,1860,black
999,Nokia,4,64,4.0,18300,gold
1025,Nokia,8,32,4.0,3499,black
1035,Nokia,4,32,4.0,19999,copper
1036,Nokia,4,32,4.0,17000,white
1040,Nokia,6,128,4.3,29990,black
1044,Nokia,4,32,4.0,9500,gold
1045,Nokia,6,64,3.7,12999,sand
1046,Nokia,6,64,3.7,12999,cyan
1050,Nokia,6,64,4.1,16999,blue
1052,Nokia,4,64,4.3,28831,blue
1053,Nokia,4,64,4.1,19999,charcoal
1054,Nokia,6,64,4.1,20999,charcoal
1056,Nokia,6,64,4.1,20999,green
1057,Nokia,6,64,4.1,20999,ice
1058,Nokia,4,64,4.1,19999,ice
1059,Nokia,4,64,4.1,19999,green
1063,Nokia,4,64,3.5,10999,charcoal
1064,Nokia,4,64,4.1,11199,blue
1069,Nokia,6,128,4.3,35999,blue
1072,Nokia,4,64,4.3,18599,white
1075,Nokia,4,64,3.5,11989,cyan
1077,Nokia,4,64,4.1,15999,black
1080,Nokia,4,64,4.3,15999,copper
1081,Nokia,4,64,3.9,19499,black
1082,Nokia,6,64,4.1,17999,black
1083,Nokia,6,64,3.7,12999,charcoal
1086,Nokia,4,64,4.1,15999,blue
1087,Nokia,4,64,4.2,13790,ice
1089,Nokia,4,64,4.1,12998,steel
1090,Nokia,4,64,4.0,36999,steel
1091,Nokia,4,64,4.0,39000,copper
1096,Nokia,4,64,4.3,18599,blue
1099,Nokia,6,64,3.7,14999,black
1100,Nokia,4,64,4.0,16990,white
1101,Nokia,4,64,4.0,36999,blue
1102,Nokia,4,64,4.0,36999,blue
1105,Nokia,4,64,4.2,18999,black
1107,Nokia,4,64,3.5,10999,sand
1109,Nokia,6,128,4.3,31999,iron
1111,Nokia,4,64,4.0,29490,blue
1112,Nokia,8,16,4.24309764309762,4189,black
1113,Nokia,8,16,4.24309764309762,4189,black
1114,Nokia,8,16,4.24309764309762,4189,black
1115,Nokia,8,16,4.24309764309762,4189,black
1117,Nokia,6,64,3.7,15990,blue
1119,Nokia,4,64,4.3,26028,copper
1124,Apple,4,128,4.5,64900,green
1126,Apple,4,128,4.5,64900,blue
1127,Apple,6,256,4.24309764309762,129900,blue
1131,Apple,4,64,4.6,49900,yellow
1132,Apple,4,128,4.6,70900,blue
1134,Apple,4,256,4.6,80900,white
1135,Apple,4,128,4.6,70900,red
